City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
569,geraldton,-28.7667,114.6,102.61399999999998,15,5,5.66,AU,1669705180
570,pauini,-7.7136,-66.9764,72.12200000000001,95,100,1.66,BR,1669705180
571,malanje,-9.5402,16.341,66.88399999999996,92,100,2.5,AO,1669705180
572,port-gentil,-0.7193,8.7815,78.76399999999995,94,75,1.54,GA,1669705181
573,prince rupert,54.3161,-130.3201,31.694000000000017,52,100,7.72,CA,1669705181
574,marsh harbour,26.5412,-77.0636,76.98200000000003,76,15,4.05,BS,1669705182
575,lamu,-2.2717,40.902,82.54400000000004,71,85,4.94,KE,1669705183
576,mahibadhoo,3.7833,72.9667,80.65400000000005,68,90,1.72,MV,1669705183
577,riyadh,24.6877,46.7219,71.74400000000009,29,100,3.62,SA,1669704890
578,dali,25.7,100.1833,65.51600000000002,32,0,3.65,CN,1669705183
579,tecoanapa,16.5167,-98.75,74.87600000000003,86,89,2.21,MX,1669705184
580,mujiayingzi,42.1167,118.7833,4.333999999999946,25,0,10.65,CN,1669705184
581,linares,-35.85,-71.6,54.73399999999998,82,0,1.96,CL,1669705106
582,yining,29.0361,114.5636,51.152000000000044,94,100,1.66,CN,1669705185
583,jacareacanga,-6.2222,-57.7528,71.85200000000003,99,100,0.91,BR,1669705185
584,gazojak,41.1875,61.4036,42.29599999999999,34,100,2.43,TM,1669705186
585,djibo,14.1022,-1.6306,70.30400000000003,16,21,3.63,BF,1669705186
586,ancud,-41.8697,-73.8203,54.06800000000004,96,27,2.99,CL,1669705187
587,bakchar,57.0186,82.0711,-2.0020000000000095,77,64,2.81,RU,1669705187
588,diego de almagro,-26.3667,-70.05,58.622000000000014,74,0,0.96,CL,1669705187
589,sabha,27.0377,14.4283,58.02800000000008,67,100,2.17,LY,1669705188
590,jerome,42.7241,-114.5186,25.68199999999996,90,100,8.75,US,1669705188
591,pierre,44.3683,-100.351,27.860000000000014,57,100,4.92,US,1669705189
592,oriximina,-1.7656,-55.8661,73.61599999999993,95,100,1.79,BR,1669705189
593,oyama,36.3,139.8,69.584,69,84,7.01,JP,1669705189
594,buritizeiro,-17.3511,-44.9622,68.25200000000001,94,45,0.91,BR,1669705190
595,watertown,42.3709,-71.1828,37.41800000000006,74,0,4.92,US,1669704976
